actor,movie_or_TV_name
Mara Carisi,Forbidden Temptations
Mara Carisi,SS Camp 5: Women's Hell
Mara Carisi,SS Experiment Love Camp
Mara Carisi,Twelve Plus One
Mara Carisi,Fellini Satyricon
Mara Carisi,Salon Kitty
Mara Carisi,Roma
Mara Carisi,"Man, Pride and Vengeance"
Mara Carisi,Kill or Be Killed
Mara Carisi,Property Is No Longer a Theft
Mara Carisi,Vow of Chastity
Mara Carisi,Hercules of the Desert
Mara Carisi,Django
Mara Carisi,Omicron
Mara Carisi,The Witches
Mara Carisi,First Love
Romano Moraschini,Investigation of a Citizen Above Suspicion
Romano Moraschini,Convoy Busters
Romano Moraschini,The Bible: In the Beginning...
Romano Moraschini,Cafè Express
Romano Moraschini,White Fang
Romano Moraschini,"Girolimoni, the Monster of Rome"
Romano Moraschini,Blood and Black Lace
Romano Moraschini,Salon Kitty
Romano Moraschini,My Dear Nephews
Romano Moraschini,Flavia the Heretic
Romano Moraschini,Django
Romano Moraschini,Hercules Against the Barbarians
Romano Moraschini,The Witches
Romano Moraschini,Two Colonels
Romano Moraschini,Lost Treasure of the Incas
Romano Moraschini,Knife of Ice
Lucio De Santis,Gunman Sent by God
Lucio De Santis,Lone and Angry Man
Lucio De Santis,Son of Django
Lucio De Santis,Ringo and His Golden Pistol
Lucio De Santis,Erik the Viking
Lucio De Santis,The Masked Man Against the Pirates
Lucio De Santis,The Hills Run Red
Lucio De Santis,The Monte Carlo Story
Lucio De Santis,Samson and Gideon
Lucio De Santis,My Gun is the Law
Lucio De Santis,And God Said to Cain
Lucio De Santis,Rattler Kid
Lucio De Santis,Jesse James' Kid
Lucio De Santis,LSD Flesh of Devil
Lucio De Santis,"Texas, Adios"
Lucio De Santis,Vengeance
Lucio De Santis,Django
Lucio De Santis,Execution
Lucio De Santis,One by One
Lucio De Santis,I Am Semiramis
Lucio De Santis,The Rover
Lucio De Santis,"Django, Prepare a Coffin"
Lucio De Santis,Trap for Seven Spies
Yvonne Sanson,Nero and the Burning of Rome
Yvonne Sanson,Don Franco and Don Ciccio in a Year of Protest
Yvonne Sanson,Il ragazzo che sorride
Yvonne Sanson,L'inafferrabile 12
Yvonne Sanson,Torna!
Yvonne Sanson,Aquila Nera
Yvonne Sanson,"A.A.A. Masseuse, Good-Looking, Offers Her Services"
Yvonne Sanson,He Who Is Without Sin...
Yvonne Sanson,The Three Musketeers
Yvonne Sanson,Chains
Yvonne Sanson,"Rome, 1585"
Yvonne Sanson,Black City
Yvonne Sanson,When You Read This Letter
Yvonne Sanson,The Great Dawn
Yvonne Sanson,Lo smemorato di Collegno
Yvonne Sanson,The Conformist
Yvonne Sanson,The Biggest Bundle of Them All
Yvonne Sanson,Flucht in die Dolomiten
Yvonne Sanson,Flesh Will Surrender
Yvonne Sanson,Django
Yvonne Sanson,Wanda the Sinner
Yvonne Sanson,Il campanile d'oro
Yvonne Sanson,Frisky
Yvonne Sanson,Campane a martello
Yvonne Sanson,Day of Anger
Yvonne Sanson,Dark Soul
Yvonne Sanson,The White Angel
Yvonne Sanson,One Appreciated Professional of Sure Future
Yvonne Sanson,The Overcoat
Yvonne Sanson,Star of India
Yvonne Sanson,The Prophet
Yvonne Sanson,You Are Always In My Mind
Yvonne Sanson,Nobody's Children
Yvonne Sanson,This Angry Age
Yvonne Sanson,The Emperor of Capri
Yvonne Sanson,The Shortest Day
Yvonne Sanson,Malinconico autunno
Yvonne Sanson,The Mysterious Rider
Yvonne Sanson,Noi peccatori
Yvonne Sanson,The Last Violence
Yvonne Sanson,La moglie è uguale per tutti
Yvonne Sanson,Il mondo dei miracoli
Yvonne Sanson,Tormento
Yvonne Sanson,We Have Only One Life
Yvonne Sanson,We Are All Murderers
Yvonne Sanson,Twisted Sex Vol. 5
Yvonne Sanson,Menzogna
Yvonne Sanson,The chastity belt
Yvonne Sanson,The Miller's Beautiful Wife
José Terrón,Fifteen Scaffolds for the Killer
José Terrón,The Deserter
José Terrón,"The Good, the Bad and the Ugly"
José Terrón,El Cid
José Terrón,I Want Him Dead
José Terrón,For a Few Dollars More
José Terrón,God Forgives... I Don't!
José Terrón,Arizona Colt
José Terrón,Forgotten Pistolero
José Terrón,The Fall of the Roman Empire
José Terrón,Navajo Joe
José Terrón,Death Rides a Horse
José Terrón,White Comanche
José Terrón,Django
José Terrón,Circus World
Flora Carosello,"Young, Violent, Dangerous"
Flora Carosello,Assolto per aver commesso il fatto
Flora Carosello,The Landlords
Flora Carosello,Il clan dei due Borsalini
Flora Carosello,La congiura dei Borgia
Flora Carosello,I due maggiolini più matti del mondo
Flora Carosello,To Be Twenty
Flora Carosello,Nick the Sting
Flora Carosello,Who's Afraid of Zorro
Flora Carosello,Tomb of Torture
Flora Carosello,Django
Flora Carosello,Il cavaliere dalla spada nera
Flora Carosello,Paolo il freddo
Flora Carosello,Maruzzella
Flora Carosello,Sua Eccellenza si fermò a mangiare
Flora Carosello,Apocalypse Joe
Flora Carosello,Teresa
Flora Carosello,Kidnap Syndicate
Flora Carosello,Naked Violence
Flora Carosello,"Laß jucken, Kumpel III. Teil - Maloche, Bier + Bett"
Flora Carosello,Titanic: The Legend Goes On...
José Canalejas,Han violado a una mujer (Tac-tac)
José Canalejas,Curro Jiménez
José Canalejas,El Secreto del capitán O'Hara
José Canalejas,The Hellbenders
José Canalejas,Lute: Forge On or Die
José Canalejas,Billy the Kid
José Canalejas,White Apache
José Canalejas,Compañeros
José Canalejas,For a Few Dollars More
José Canalejas,God Forgives... I Don't!
José Canalejas,A Stranger in Paso Bravo
José Canalejas,The Man in the Brown Suit
